Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7, Channel 8
188.079453999999998, 0, 0, 0, 0, 0, 0, 0, 0, 1
188.085903000000002, 0, 0, 0, 0, 0, 0, 0, 0, 0
188.800344999999993, 0, 0, 0, 0, 0, 0, 0, 0, 1
188.802950999999979, 0, 0, 0, 1, 0, 0, 0, 0, 1
189.085437999999982, 0, 0, 0, 1, 0, 0, 0, 0, 0
189.088282999999990, 0, 0, 0, 0, 0, 0, 0, 0, 0
189.797395999999992, 0, 0, 1, 0, 0, 0, 0, 0, 0
189.803718000000003, 0, 0, 1, 0, 0, 0, 0, 0, 1
189.808199000000002, 0, 0, 1, 0, 0, 1, 0, 0, 1
189.811223999999982, 0, 0, 1, 0, 0, 1, 0, 1, 1
189.867707999999993, 0, 1, 1, 0, 0, 1, 0, 1, 1
190.084136000000001, 0, 1, 0, 0, 0, 1, 0, 1, 1
190.088808000000000, 0, 1, 0, 0, 0, 1, 0, 1, 0
190.095047999999991, 0, 1, 0, 0, 0, 0, 0, 1, 0
190.098391999999990, 0, 1, 0, 0, 0, 0, 0, 0, 0
190.155266999999981, 0, 0, 0, 0, 0, 0, 0, 0, 0
190.805168999999978, 0, 0, 0, 0, 0, 0, 0, 0, 1
191.090259000000003, 0, 0, 0, 0, 0, 0, 0, 0, 0
191.804676999999998, 0, 0, 0, 0, 1, 0, 0, 0, 0
191.806620999999978, 0, 0, 0, 0, 1, 0, 0, 0, 1
191.826275999999979, 0, 0, 0, 0, 1, 0, 1, 0, 1
192.090152999999987, 0, 0, 0, 0, 0, 0, 1, 0, 1
192.091727999999989, 0, 0, 0, 0, 0, 0, 1, 0, 0
192.113261999999992, 0, 0, 0, 0, 0, 0, 0, 0, 0
192.806151999999997, 0, 0, 0, 0, 0, 0, 0, 0, 1
193.091252999999995, 0, 0, 0, 0, 0, 0, 0, 0, 0
193.801946999999984, 1, 0, 0, 0, 0, 0, 0, 0, 0
193.807603999999998, 1, 0, 0, 0, 0, 0, 0, 0, 1
194.041214999999994, 0, 0, 0, 0, 0, 0, 0, 0, 1
194.092714999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
194.809303999999997, 0, 0, 0, 0, 0, 1, 0, 0, 0
194.810975999999982, 0, 0, 0, 0, 0, 1, 0, 0, 1
194.811661999999984, 0, 0, 0, 1, 0, 1, 0, 0, 1
194.848843999999985, 0, 1, 0, 1, 0, 1, 0, 0, 1
194.967608999999982, 0, 1, 1, 1, 0, 1, 0, 0, 1
195.096072999999990, 0, 1, 1, 1, 0, 1, 0, 0, 0
195.096159999999998, 0, 1, 1, 1, 0, 0, 0, 0, 0
195.096992000000000, 0, 1, 1, 0, 0, 0, 0, 0, 0
195.136396999999988, 0, 0, 1, 0, 0, 0, 0, 0, 0
195.254345999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
195.810507000000001, 0, 0, 0, 0, 0, 0, 0, 0, 1
196.019937999999996, 0, 0, 0, 0, 0, 0, 0, 1, 1
196.095607000000001, 0, 0, 0, 0, 0, 0, 0, 1, 0
196.307104999999979, 0, 0, 0, 0, 0, 0, 0, 0, 0
196.811959000000002, 0, 0, 0, 0, 0, 0, 0, 0, 1
196.812020999999987, 0, 0, 0, 0, 1, 0, 0, 0, 1
197.011362999999989, 0, 0, 0, 0, 1, 0, 1, 0, 1
197.097059000000002, 0, 0, 0, 0, 1, 0, 1, 0, 0
197.097510999999997, 0, 0, 0, 0, 0, 0, 1, 0, 0
197.298361999999997, 0, 0, 0, 0, 0, 0, 0, 0, 0
197.815933000000001, 0, 0, 0, 0, 0, 0, 0, 0, 1
198.101036999999991, 0, 0, 0, 0, 0, 0, 0, 0, 0
198.809115999999989, 1, 0, 0, 0, 0, 0, 0, 0, 0
198.816782999999987, 1, 0, 0, 0, 0, 0, 0, 0, 1
199.095334999999977, 0, 0, 0, 0, 0, 0, 0, 0, 1
199.101885999999979, 0, 0, 0, 0, 0, 0, 0, 0, 0
199.816313999999977, 0, 0, 0, 0, 0, 0, 0, 0, 1
199.816563000000002, 0, 0, 0, 0, 0, 1, 0, 0, 1
199.890153999999995, 0, 1, 0, 0, 0, 1, 0, 0, 1
200.010178999999994, 0, 1, 1, 0, 0, 1, 0, 0, 1
200.101405000000000, 0, 1, 1, 0, 0, 1, 0, 0, 0
200.103425999999985, 0, 1, 1, 0, 0, 0, 0, 0, 0
200.177708999999993, 0, 0, 1, 0, 0, 0, 0, 0, 0
200.296918000000005, 0, 0, 0, 0, 0, 0, 0, 0, 0
200.817851999999988, 0, 0, 0, 0, 0, 0, 0, 0, 1
200.820458000000002, 0, 0, 0, 1, 0, 0, 0, 0, 1
201.056662999999986, 0, 0, 0, 0, 0, 0, 0, 0, 1
201.102941999999985, 0, 0, 0, 0, 0, 0, 0, 0, 0
201.819216999999981, 0, 0, 0, 0, 0, 0, 0, 0, 1
201.819279999999992, 0, 0, 0, 0, 1, 0, 0, 0, 1
202.041122000000001, 0, 0, 0, 0, 1, 0, 1, 0, 1
202.104314999999986, 0, 0, 0, 0, 1, 0, 1, 0, 0
202.104766999999981, 0, 0, 0, 0, 0, 0, 1, 0, 0
202.318510000000003, 0, 0, 0, 0, 0, 0, 0, 0, 0
202.822589999999991, 0, 0, 0, 0, 0, 0, 0, 0, 1
202.830095999999998, 0, 0, 0, 0, 0, 0, 0, 1, 1
203.086724000000004, 0, 0, 0, 0, 0, 0, 0, 0, 1
203.107701999999989, 0, 0, 0, 0, 0, 0, 0, 0, 0
203.824041999999992, 0, 0, 0, 0, 0, 0, 0, 0, 1
204.109143999999986, 0, 0, 0, 0, 0, 0, 0, 0, 0
204.126542999999998, 1, 0, 0, 0, 0, 0, 0, 0, 0
204.412759999999992, 0, 0, 0, 0, 0, 0, 0, 0, 0
204.823571999999984, 0, 0, 0, 0, 0, 0, 0, 0, 1
204.869677999999993, 0, 1, 0, 0, 0, 0, 0, 0, 1
204.929206999999991, 0, 1, 0, 0, 0, 1, 0, 0, 1
205.055926999999997, 0, 1, 1, 0, 0, 1, 0, 0, 1
205.095120999999978, 0, 0, 1, 0, 0, 1, 0, 0, 1
205.108659999999986, 0, 0, 1, 0, 0, 1, 0, 0, 0
205.216066999999981, 0, 0, 1, 0, 0, 0, 0, 0, 0
205.342669999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
